濔	沵
貪	贪
鈁	钫
檉	柽
誆	诓
飪	饪
墰	坛
倫	伦
壩	坝
悅	悦
獪	狯
盧	卢
舊	旧
諭	谕
鏍	镙
嘖	啧
鋤	锄
懺	忏
艢	樯
賔	宾
娬	妩
糞	粪
譚	谭
當	当
懍	懔
澦	滪
餒	馁
藉	借
鬦	斗
膕	腘
鵑	鹃
獱	㺍
諾	诺
閬	阆
鎣	蓥
輩	辈
鯰	鲇
鍾	钟
纊	纩
啟	启
梘	枧
儕	侪
瀇	㲿
迺	乃
霧	雾
賙	赒
瑤	瑶
議	议
叶	叶
確	确
甦	苏
豈	岂
鈽	钸
櫞	橼
彠	彟
颶	飓
億	亿
硶	碜
鷳	鹇
瀘	泸
椏	桠
巰	巯
陰	阴
腸	肠
灄	滠
鋯	锆
頏	颃
噴	喷
層	层
蠟	蜡
邏	逻
詎	讵
紙	纸
厛	厅
暉	晖
駟	驷
鮑	鲍
嚴	严
醖	酝
進	进
兩	两
謹	谨
鐐	镣
撣	掸
鈄	钭
繒	缯
蒓	莼
蛻	蜕
羥	羟
萇	苌
檢	检
飭	饬
宮	宫
鵬	鹏
躉	趸
懣	懑
鬭	斗
鑄	铸
鐝	镢
鐠	镨
輼	辒
斷	断
樁	桩
鴴	鸻
鬥	斗
邇	迩
製	制
說	说
擁	拥
測	测
貴	贵
譸	诪
鈡	钟
恆	恒
錨	锚
樷	丛
艦	舰
賰	䞐
賴	赖
据	据
蕢	蒉
鯢	鲵
較	较
緋	绯
綹	绺
錢	钱
揮	挥
縞	缟
爲	为
涖	莅
騁	骋
艸	艹
壠	垅
駮	驳
蟯	蛲
鏗	铿
鐫	镌
鍾	锺
藹	蔼
壋	垱
騂	骍
臢	臜
磽	硗
籲	吁
韌	韧
霽	霁
櫂	棹
熅	煴
擼	撸
囁	嗫
滸	浒
蟶	蛏
襬	䙓
質	质
稟	禀
鑞	镴
驃	骠
鰜	鳒
遺	遗
齧	啮
闤	阛
葤	荮
匲	奁
滬	沪
纖	纤
鶿	鹚
鮃	鲆
繰	缲
喚	唤
黌	黉
鯉	鲤
繫	系
癟	瘪
剎	刹
煥	焕
蕩	荡
鋇	钡
漿	浆
鶘	鹕
麗	丽
懕	恹
饉	馑
詩	诗
鷯	鹩
諡	谥
馳	驰
聽	听
勛	勋
繅	缫
苎	苧
鷫	鹔
張	张
碸	砜
暢	畅
璉	琏
囉	啰
夾	夹
嘯	啸
錠	锭
钜	巨
覷	觑
絃	弦
飿	饳
醫	医
釣	钓
畵	画
錏	铔
錕	锟
糰	团
願	愿
僞	伪
屨	屦
詭	诡
廳	厅
諧	谐
閒	闲
謗	谤
鵡	鹉
嗆	呛
騾	骡
漸	渐
几	几
縂	总
龜	龟
寧	宁
璦	瑷
褌	裈
鏌	镆
螞	蚂
鍼	针
讁	谪
風	风
脹	胀
劍	剑
曆	历
擋	挡
梔	栀
緲	缈
牆	墙
飇	飙
鰲	鳌
鉆	钻
踐	践
鶥	鹛
鶴	鹤
鍩	锘
塗	涂
齡	龄
謅	诌
糧	粮
凈	净
彫	雕
鰈	鲽
鳥	鸟
鷺	鹭
鍆	钔
鍊	炼
狹	狭
療	疗
驍	骁
甯	宁
視	视
載	载
綠	绿
飴	饴
開	开
纓	缨
徵	征
雲	云
鞦	秋
鶤	鹍
齜	龇
銜	衔
鮜	鲘
膁	肷
襝	裣
糢	模
綣	绻
賧	赕
惱	恼
牘	牍
戇	戆
組	组
鑣	镳
兗	兖
齗	龂
請	请
醼	燕
鱅	鳙
麽	么
啣	衔
遝	沓
氫	氢
璡	琎
裌	夹
懨	恹
鱖	鳜
訛	讹
轂	毂
轆	辘
繼	继
鈰	铈
誤	误
齟	龃
訓	训
鵓	鹁
頗	颇
騗	骗
郁	郁
飼	饲
錘	锤
瀰	弥
紬	䌷
鳩	鸠
葉	叶
櫫	橥
訣	诀
憮	怃
衹	只
綁	绑
裊	袅
蕕	莸
讕	谰
廕	荫
漬	渍
蹠	跖
顆	颗
傯	偬
係	系
徬	仿
嶧	峄
摳	抠
遙	遥
鉉	铉
劇	剧
搵	揾
潰	溃
隱	隐
飫	饫
嘵	哓
軸	轴
顏	颜
埡	垭
窪	洼
籥	钥
資	资
蹣	蹒
兌	兑
蠍	蝎
鵒	鹆
躦	躜
叢	丛
餅	饼
鈦	钛
鐧	锏
獄	狱
讎	雠
嚕	噜
渢	沨
磐	盘
籙	箓
罸	罚
譜	谱
崢	峥
鉀	钾
罈	坛
掄	抡
淨	净
貞	贞
厴	厣
矓	眬
憤	愤
壎	埙
綺	绮
覓	觅
銳	锐
閥	阀
詘	诎
夥	伙
訐	讦
諞	谝
鮮	鲜
罵	骂
氂	牦
礎	础
轡	辔
崳	嵛
囂	嚣
颼	飕
澗	涧
歐	欧
鵷	鹓
誥	诰
尷	尴
煒	炜
櫛	栉
韉	鞯
鍃	锪
鞏	巩
諛	谀
榮	荣
鎬	镐
銍	铚
轎	轿
項	项
紅	红
嚥	咽
襤	褴
譙	谯
韻	韵
瑯	琅
嬾	懒
鳳	凤
頻	频
氳	氲
謨	谟
掃	扫
郃	合
鋻	鉴
鰾	鳔
訖	讫
閶	阊
鴉	鸦
輥	辊
闌	阑
脈	脉
躂	跶
迆	迤
猻	狲
盜	盗
櫓	橹
責	责
糲	粝
辦	办
銛	铦
饢	馕
欏	椤
圍	围
瘉	愈
沒	没
緓	绬
會	会
糴	籴
巔	巅
槓	杠
蓀	荪
鈥	钬
還	还
駘	骀
癆	痨
園	园
變	变
鎧	铠
滯	滞
儲	储
湣	愍
雛	雏
囬	回
黲	黪
賜	赐
寬	宽
黿	鼋
鯰	鲶
機	机
瑉	珉
徴	征
臚	胪
紵	纻
饗	飨
鶲	鹟
郟	郏
嘗	尝
衊	蔑
倉	仓
噯	嗳
蓆	席
綳	绷
墮	堕
鸎	莺
話	话
懶	懒
韓	韩
甖	罂
羆	罴
薴	苧
銠	铑
趲	趱
鐘	钟
獎	奖
蟈	蝈
賍	赃
課	课
鋰	锂
鴝	鸲
飈	飙
潁	颍
剋	克
憑	凭
曨	昽
頊	顼
噁	恶
覰	觑
壪	塆
鶄	䴖
順	顺
軛	轭
躡	蹑
閲	阅
餚	肴
異	异
鋣	铘
葠	参
堦	阶
鈐	钤
韋	韦
臯	皋
繮	缰
摑	掴
縑	缣
緡	缗
蠣	蛎
針	针
騧	䯄
蟄	蛰
婭	娅
髕	髌
矇	蒙
曉	晓
稅	税
嶽	岳
敺	驱
鎝	𨱏
廎	庼
鎰	镒
褲	裤
鴟	鸱
鑊	镬
饜	餍
癮	瘾
痾	疴
戲	戏
擡	抬
